essay_id,prompt,reference_answer,student_answer,score,max_score
1,Describe the water cycle.,"The water cycle describes how water evaporates from the surface of the earth, rises into the atmosphere, cools and condenses into rain or snow in clouds, and falls again to the surface as precipitation. The cycle involves evaporation, condensation, precipitation, and collection.","Water evaporates from oceans, condenses to form clouds, and falls as rain or snow, then collects in water bodies and evaporates again.",4,5
1,Describe the water cycle.,"The water cycle describes how water evaporates from the surface of the earth, rises into the atmosphere, cools and condenses into rain or snow in clouds, and falls again to the surface as precipitation. The cycle involves evaporation, condensation, precipitation, and collection.",Water goes up and comes down as rain.,1,5
1,Describe the water cycle.,"The water cycle describes how water evaporates from the surface of the earth, rises into the atmosphere, cools and condenses into rain or snow in clouds, and falls again to the surface as precipitation. The cycle involves evaporation, condensation, precipitation, and collection.","The water cycle includes evaporation where water becomes vapor, condensation forming clouds, precipitation as rain or snow, and collection in rivers and lakes.",5,5
1,Describe the water cycle.,"The water cycle describes how water evaporates from the surface of the earth, rises into the atmosphere, cools and condenses into rain or snow in clouds, and falls again to the surface as precipitation. The cycle involves evaporation, condensation, precipitation, and collection.",Evaporation makes water vapor. Clouds form and it rains.,2,5
1,Describe the water cycle.,"The water cycle describes how water evaporates from the surface of the earth, rises into the atmosphere, cools and condenses into rain or snow in clouds, and falls again to the surface as precipitation. The cycle involves evaporation, condensation, precipitation, and collection.","Water evaporates due to solar energy, rises, cools to condense into clouds, precipitates as rain or snow, and collects in oceans and rivers starting the cycle again.",5,5
1,Describe the water cycle.,"The water cycle describes how water evaporates from the surface of the earth, rises into the atmosphere, cools and condenses into rain or snow in clouds, and falls again to the surface as precipitation. The cycle involves evaporation, condensation, precipitation, and collection.",Rain falls on land.,0,5
1,Describe the water cycle.,"The water cycle describes how water evaporates from the surface of the earth, rises into the atmosphere, cools and condenses into rain or snow in clouds, and falls again to the surface as precipitation. The cycle involves evaporation, condensation, precipitation, and collection.","The water cycle involves water changing states from liquid to gas through evaporation, forming clouds via condensation, and returning as precipitation.",4,5
1,Describe the water cycle.,"The water cycle describes how water evaporates from the surface of the earth, rises into the atmosphere, cools and condenses into rain or snow in clouds, and falls again to the surface as precipitation. The cycle involves evaporation, condensation, precipitation, and collection.",Hot sun makes water disappear into sky.,1,5
2,Explain Newton's Second Law of Motion.,"Newton's Second Law of Motion states that the acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass. This is expressed as F = ma, where F is force, m is mass, and a is acceleration.",F equals ma. Force equals mass times acceleration. More force means more acceleration if mass is same.,3,5
2,Explain Newton's Second Law of Motion.,"Newton's Second Law of Motion states that the acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass. This is expressed as F = ma, where F is force, m is mass, and a is acceleration.",Newton said things move when you push them.,1,5
2,Explain Newton's Second Law of Motion.,"Newton's Second Law of Motion states that the acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass. This is expressed as F = ma, where F is force, m is mass, and a is acceleration.","The second law states acceleration is proportional to net force and inversely proportional to mass, F=ma.",5,5
2,Explain Newton's Second Law of Motion.,"Newton's Second Law of Motion states that the acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass. This is expressed as F = ma, where F is force, m is mass, and a is acceleration.",Objects accelerate based on how hard you push.,2,5
