question,subject,difficulty,difficulty_label,word_count,char_count
What is dynamic programming? Explain with Fibonacci.,Computer Science,Medium,1,7,52
Find the limit of (x^2-1)/(x-1) as x→1.,Mathematics,Medium,1,7,39
Derive the Nernst equation and explain its applications.,Chemistry,Hard,2,8,56
Explain the OSI model with all 7 layers.,Computer Science,Medium,1,8,40
Explain BFS and DFS graph traversal algorithms.,Computer Science,Medium,1,7,47
Define velocity.,Physics,Easy,0,2,16
What is an array?,Computer Science,Easy,0,4,17
Describe the CRISPR-Cas9 gene editing mechanism.,Biology,Hard,2,6,48
Define RAM and ROM.,Computer Science,Easy,0,4,19
Derive the time and space complexity of merge sort using recurrence.,Computer Science,Hard,2,11,68
Explain molecular orbital theory for benzene.,Chemistry,Hard,2,6,45
Calculate the determinant of a 2x2 matrix.,Mathematics,Medium,1,7,42
What is potential energy?,Physics,Easy,0,4,25
Evaluate: 3^2,Mathematics,Easy,0,2,13
"Calculate the standard deviation of [2,4,4,4,5,5,7,9].",Mathematics,Medium,1,6,54
What is the Higgs mechanism? Explain spontaneous symmetry breaking.,Physics,Hard,2,9,67
Describe the mechanism of SN1 and SN2 reactions.,Chemistry,Medium,1,8,48
What is a compiler?,Computer Science,Easy,0,4,19
Explain the Heisenberg uncertainty principle mathematically.,Physics,Hard,2,6,60
Explain Mendel's laws of inheritance.,Biology,Medium,1,5,37
Prove that every finite integral domain is a field.,Mathematics,Hard,2,9,51
Name the organelles in a cell.,Biology,Easy,0,6,30
Derive the formula for Fourier series coefficients.,Mathematics,Hard,2,7,51
What is the function of the heart?,Biology,Easy,0,7,34
Describe the stages of mitosis in detail.,Biology,Medium,1,7,41
Describe the molecular mechanism of apoptosis.,Biology,Hard,2,6,46
Explain Hess's Law of heat summation.,Chemistry,Medium,1,6,37
Describe the mechanism of signal transduction pathways.,Biology,Hard,2,7,55
What is simple harmonic motion? Write its differential equation.,Physics,Medium,1,9,64
What is Newton's First Law?,Physics,Easy,0,5,27
Find eigenvalues of a 3x3 matrix.,Mathematics,Hard,2,6,33
Find the inverse of a 2x2 matrix.,Mathematics,Medium,1,7,33
Define a function in programming.,Computer Science,Easy,0,5,33
Find the derivative of f(x) = 3x^2 + 2x.,Mathematics,Medium,1,9,40
What is the Doppler effect? Give an example.,Physics,Medium,1,8,44
Explain the role of non-coding RNA in gene regulation.,Biology,Hard,2,9,54
Explain quantum tunneling and its applications.,Physics,Hard,2,6,47
Prove that sqrt(2) is irrational using contradiction.,Mathematics,Hard,2,7,53
What is 15% of 200?,Mathematics,Easy,0,5,19
What is the SI unit of force?,Physics,Easy,0,7,29
Explain epigenetic regulation of gene expression.,Biology,Hard,2,6,49
Explain Byzantine fault tolerance in consensus algorithms.,Computer Science,Hard,2,7,58
Derive the complexity of matrix chain multiplication using DP.,Computer Science,Hard,2,9,62
"Solve the system: 2x + y = 5, x - y = 1.",Mathematics,Medium,1,13,40
Solve the quadratic equation x^2 - 5x + 6 = 0.,Mathematics,Medium,1,11,46
Explain and implement Dijkstra's algorithm with complexity analysis.,Computer Science,Hard,2,8,68
What is the lac operon model?,Biology,Medium,1,6,29
What is the significance of the citric acid cycle?,Biology,Medium,1,9,50
What is hashing? Explain collision resolution techniques.,Computer Science,Medium,1,7,57
What are isomers? Explain structural isomerism.,Chemistry,Medium,1,6,47
What is oxidation?,Chemistry,Easy,0,3,18
Explain the concept of chemical equilibrium.,Chemistry,Medium,1,6,44
What is a boolean data type?,Computer Science,Easy,0,6,28
What is 2 + 2?,Mathematics,Easy,0,5,14
What is DNA?,Biology,Easy,0,3,12
What is an if-else statement?,Computer Science,Easy,0,5,29
"Apply Lagrange multipliers to optimize f(x,y) = x^2+y^2 subject to x+y=1.",Mathematics,Hard,2,11,73
Derive the equation for projectile motion.,Physics,Medium,1,6,42
Explain Snell's Law and derive it.,Physics,Medium,1,6,34
What is an algorithm?,Computer Science,Easy,0,4,21
Name the four blood groups.,Biology,Easy,0,5,27
Prove Cauchy-Schwarz inequality in inner product spaces.,Mathematics,Hard,2,7,56
